Name	Tags	Image	Description
The Butthole Candle	Iceberg, Layer7, ButtholeCandle	https://pbs.twimg.com/media/EnS3cUTVoAAKzIg.jpg	In January of 2020 Gwenneth Paltrow began selling a 'Smells Like My Vagina Candle'. They bought one to smell on the show, and it just smelt like a nice candle. Ethan thought it would be funny to parody this by creating a 'Smells Like My Butthole' candle that would NOT smell nice. /n  So, as luck would have it, a candle company reached out with interest in making this perfect butthole smell! Who were these mysterious smell magicians? And can you imagine having to sniff asshole candles all day until you find the perfect scent? Whoever these warriors were, it paid off and in December of 2020 the candle would be sold, raising $8,000 for prostate cancer! /n  And yes, the smell was truly rank.
GERD Gang	Iceberg, Layer8, GerdGang	https://ih1.redbubble.net/image.527816165.5226/raf,360x360,075,t,fafafa:ca443f4786.u2.jpg	Ethan has GERD, GastroEsophageal Reflux Disease, which causes stomach acid to repeatedly flow backwards into the tube connnecting your mouth to your stomach. This causes him to hack and cough fairly often on the show. But Ethan is not alone, and many in the comments shared the sentiment of having GERD. They were declared GERD Gang!
DD Megadoodoo	Iceberg, Layer6, DDMegadoodoo	https://i.ytimg.com/vi/9dCXET4Cl3M/hqdefault.jpg	This is referring to a viral moment from a news anchor who was caught stumbling to pronounce someone's name live on the air. For some reason all that she could muster was DD Megadoodoo. This became a popular soundbite that is often used when Ethan incorrectly names someone on the Podcast..
808-HOT-MEME	Iceberg, Layer10, 808-HOT-MEME	https://static.wikia.nocookie.net/h3podcast/images/3/33/Hotmemeline.png	A phone number that fans can use to call into the Podcast. It has come and gone multiple times over the years. The last time it was used was in 2022.
Swami	Iceberg, Layer8, Swami	https://static.wikia.nocookie.net/h3podcast/images/2/20/Swami.jpg	For a time, Swami was the security guard at the studio who has made multiple appearances on the podcast. Swami's confusion when in on camera led to him becoming a fan favorite, and so when he stopped making appearances, fans began to speculate that Swami may have been let go. Unfortunately for Swami, Ethan would later reveal that this was, in fact, the case. RIP to the GOAT.
Vape God NFT	Iceberg, Layer7, VapeGodNFT	https://static.wikia.nocookie.net/h3podcast/images/c/ca/Hila_NFT.jpg	In March of 2021 Ethan and Crew got into the NFT game. Each member of the crew got their own custom NFT. The Vape God NFT is a one of a kind minted NFT that had an entire episode dedicated to it's sale. A bidding war broke out and in the end it sold for 33 ETH ($60,769.50 at the time).
The Gatsby	Iceberg, Layer6, Gatsby	https://images.ctfassets.net/5lo27vrr3lb5/4FYjIzeMUEXlTvNK0zUI8y/835ce5c157b26a030ca9b024421eb995/206478-z1.jpg	An early gag that originated with Ethans obsession with watching video's of people doing crazy things in mobility scooters, which led to Ethan wanting to get a mobility scooter of his own. There would be a stream where chat got to choose what scooter Ethan should buy and The Gatsby would be the victor! For a brief period of time guests would ride the scooter onto the set at the start of the show, however this was short lived due to Bobby Lee being an absolute maniac. which would end up being The Gatsby.  Many skits would include The Gatsby, but it has begun to appear less and less over the years.
Wendy Williams Fartgate	Iceberg, Layer8, WendyWilliamsFartgate	https://pagesix.com/wp-content/uploads/sites/3/2020/01/wendy-williams-2.jpg	Wendy Williams has been suspected of farting on her show more times than I can count. She denied ever farting, and this was dubbed 'Wendy Williams Fartgate!'
Dan Had Hair	Iceberg, Layer9, DanHadHair	/Images/Dan_Hair.png	Yes, it may be hard to believe but Dan actually had hair for a very long time on the podcast. Although it was almost always hidden beneath a hat or beanie, you can see here in an early episode - Our boy's got the goods.
Mr Beast Cease and Desist	Iceberg, Layer9, MrBeastCeaseandDesist	https://cdn.prod.website-files.com/63b9c43cf803b0331540fa68/66bf7f0ebfa3fe2764910428_MrBeast.png	When Mr. Beasts feastibles chocolate were first hitting the shelf they tried them on the Podcast. This led to a Zilly Zonka bit that required Love to make a fake website so that Ethan could get ZONK'D. At the time they joked about the website getting a C&D, but a few months later that's exactly what happened.
Mobility Mary	Iceberg, Layer6, MobilityMary	https://www.telegraph.co.uk/content/dam/news/2017/01/25/JS118815012_disabled-jean-sleath_trans_NvBQzQNjv4Bq7NRAbDAGXwM9Qe5v6KfA9pJ8PoikZkEUWI82ov0YXxE.jpg	In the height of Ethan's love for mobility scooters he came across what is perhaps the most famous scooter vigilante - Mobility Mary! She had a YouTube channel where she would film herself cruising around in public on her scooter to record evidence of people mistreating her as a handicapped person. Unfortunately, it was revealed in 2021 that Mary had passed away. Ethan and crew did attempt to get her scooter, but were unsuccessful.
Braco	Iceberg, Layer8, Braco	https://cdn-images-1.medium.com/v2/0*bx9jPMm2-LMoVbUi.gif	The stare of Braco is a magical thing. Look into his eyes, child. He is waiting for you. And H3H3 video was made about Braco years ago, he has been brough up a few times over the yearsn and Zach went as him for Halloween one year.
Belle Delphine Spit Jar	Iceberg, Layer9, BelleDelphineSpitJar	https://i.scdn.co/image/ab6761610000e5eb5f58a8ecfc84b662742135c8	In the summer of 2019 Belle Delphine was all the rage, and she sent the H3 Podcast a special surprise - A jar of spit. Throughout the years it would be smelt because they are disgusting, and when they moved to the new office a mystery revealed itself - The spit has VANISHED from its jar.
Ghost Stories	Iceberg, Layer9, GhostStories	https://i.ytimg.com/vi/xGamy9dHfOk/hq720.jpg	In the early days of the Podcast Ethan and Hila would always ask their guests if they had any paranormal experiences that they would like to share. Fans loved this segment but Ethan, being extremely skeptical, really didn't care and always found the stories bullshit. Ethan would eventually explain that this was the reason for them stopping.
Zachs Lawn Shit	Iceberg, Layer9, ZachsLawnShit	https://i.imgur.com/4IOGifK.jpeg	Zach once had to shit so bad he pulled his car over while driving and shit on some dude's lawn. He would later admit to taking a picture of said lawn shit.
I Gotta Pee So Bad	Iceberg, Layer9, IGottaPeeSoBad	https://static.wikia.nocookie.net/h3podcast/images/8/80/Ian_slater_verified.jpg	On episode #106 of the Podcast Ian declared to the world *I Gotta Pee So Bad*. It was the start of the Ian soundbites and has become one of the most famous soundbites on the Podcast.
Inspired by Stern	Iceberg, Layer4, InspiredbyHowardStern	https://cdn.britannica.com/80/232180-050-0FADA583/American-radio-host-Howard-Stern-2015.jpg	It has been mentioned multiple times that Ethan has taken a lot of inspiration from the Howard Stern Show, and many of the members of the crew love the show as well.
Dr Faddel Deleted Segment	Iceberg, Layer9, DrFaddelDeletedSegment	https://cdn.allmylinks.com/prod/User/photo/g/6/b/bJUcb2UFNS9R5fW9QXVnldE30hWRDjRj.jpg	It was long suspected that Jimmie Lee has Hysterionic Personality Disorder, and so they decided to have a doctor call into the Podcast to diagnose him LIVE ON AIR! This would prove to be a bad call on the doctors part, and we believe has since been fired for doing this. It is presumed that the segment was deleted for this reason.
Ian Powerpoints	Iceberg, Layer6, IantheInternPowerpoints	https://static.wikia.nocookie.net/h3podcast/images/8/80/Ian_slater_verified.jpg	Prior to Olivia joining the crew and becoming the PowerPoint Queen, Ian was the PowerPoint King! In the earlier days of the Podcast he was known for creating detailed and entertaining PowerPoints about various topics. While we may always wish we had more Ian PowerPoints, they hold a special place in many long-time fans' hearts.
Kevin	Iceberg, Layer7, Kevin	https://images.pexels.com/photos/29095596/pexels-photo-29095596/free-photo-of-mysterious-hooded-figure-in-dark-cloak.jpeg	One day in March of 2023 a mysterious man named Kevin started shit talking Ethan by donating during a members stream. Ethan would fire back but the donations would continue to roll-in for months and The Crew would eventually get in on the gag as well. Over the years Kevin has gotten into all sort of antics. He is Nate's #1 Fan, has worked alongside Jay Shetty, and was even theorized to be Satan himself. All of this would cumulate in him being given the title of Ethan's "Arch-Nemesis" and "Mortal Enemy"
Patrice Wilson Countdown	Iceberg, Layer10, PatriceWilsonCountdownStream	https://thumb.spokesman.com/CXUhTQSDFvVSXO9-qdMVo9VD11g=/2500x1875/smart/media.spokesman.com/photos/2011/04/22/srx_Patrice_Wilson.jpg	Patrice Wilson is a music producer who wrote Rebecca Black's song Friday (along with many others). In the early days of the Podcast Ethan would often rag on him for being a creep. Patrice did not take kindly to this and in November of 2017 would post a livestream with a countdown to December 1st with h3h3 in the title. Ethan would show this to Post Malone on Podcast #39, and afterwards fans would point out that the live stream was beginning to change. This led to a whole series of events that started out entertaining, but became more and more concerning as the stream went on. These events would genuinely freak Ethan out to the point where he left home for the night and considered calling the police.
The BacH3lor	Iceberg, Layer2, TheBacH3lor	https://m.media-amazon.com/images/M/MV5BOGFjZmU2YTQtMDkzMS00ZGU0LTgxNDEtZTk3ZGI4OTk3NTU5XkEyXkFqcGdeQXVyOTE0NjgwMjY@._V1_.jpg	Ethan and Hila are long time fans of the Bachelor series, which led them to create a series of segments called the BacH3lor. There have been 3 BacH3lor's in total: /n  1. Ian was the first, but almost immediately disaster would strike! He began breaking the rules and talking to a girl behind the scenes. Drama would unfold between Ethan and him and there would only be 2 segments before the segment was cancelled./n  2. Trisha was the second, and only current BacH3lorette. It once again failed, and was dubbed a cursed segment, until... /n  3. Jeff Wittek be the 3rd BacH3lor and he saw things through to the very end! Unfortunately, Jeff's pride didn't get him far, and his newfound relationship would only last a few months before falling apart.
Shoenice	Iceberg, Layer7, ShoeNice	https://i1.sndcdn.com/artworks-000137330537-9zlgo5-t500x500.jpg	Shoenice is a YouTuber best known for eating really weird thinks (ie: Stick of deodorant, raw bacon, etc.). The relationship between Shoe and the Podcast has been a rollercoaster and whether Shoenice likes or hates Ethan truly seems to depend on the day. In the earlier days of the Podcast he was a very prominent figure who would often call in. These days, however, he has not been mentioned much.
Anal Fissures	Iceberg, Layer10, AnalFissures	https://static.wikia.nocookie.net/h3h3productions/images/9/90/GVL6evk8_400x400.jpg	In a time long before anal prolapses were a topic of discussion, a conversation around Zach's Aunt and her dealing with anal fissures would begin to unfold. This would turn out to be entirely incorrect, and Zach would apologize shortly thereafter for being misinformed.
Leonard Katzman	Iceberg, Layer10, LeonardKatzman	https://static.wikia.nocookie.net/h3podcast/images/d/d5/Leonard_Katzman.webp	Ethan's grandpa. He abandoned Ethan's Dad when we was very young, and went off to become a pretty famous film producer. He never re-connected with Ethan's father.
CCR Curse	Iceberg, Layer7, CCRCurse	https://upload.wikimedia.org/wikipedia/commons/e/ee/Creedence_Clearwater_Revival_1968.jpg	Zach has a genuine phobia against the band Clarence Clearwater Revival. He believes that hearing their song or mentioning their name gives everyone bad luck. For awhile the crew often made gags out of it. /n  Since then, Ethan has come out against doing any further gags around this - As ridiculous as it may seem, it is something Zach truly struggles with constantly and should not be made light of... That said, they will still poke fun at it from time-to-time.
Lil' Tracy Beef	Iceberg, Layer10, LilTracyBeef	https://fastly-s3.allmusic.com/artist/mn0003670382/400/sRMlAmHpLaCAH6-J0jfuRCpQg_7iAU1wjqLgK_xGXts=.jpg	Back when the song Old Town Road was the most popular song on the planet a discussion arose around whether it was stolen from Lil Tracy. Ethan said noa, nd that Lil Tracy needs to shutup and deal with it. This lead to Lil Tracy retaliating by writting a series of negative tweets at Ethan. /n  Over the years this beef has been brought up in passing, and every time Ethan NEVER remembers who this man is.
Fatburgs	Iceberg, Fatburgs, Layer11	https://i2-prod.mirror.co.uk/incoming/article4571474.ece/ALTERNATES/s615b/Another-massive-fatburg-found-under-London.jpg	Before Ethan got a bidet, he used to swear by flushable baby wipes at the end of his poops. But one day he learned about fatburgs - A buildup of sewage that happens all over the country. A large contributing factor to this is flushable baby wipes. It turns out flushable does not mean decomposable, and they build up into these horrific creatures. He has since sworn off baby wipes and spreads the good word to anyone still using them.
The Regula Shmegula	Iceberg, Layer8, TheRegulaShmegula	https://i.ytimg.com/vi/b1zX2SXiV0I/maxresdefault.jpg	After Ethan Bradberry fell from grace, he began making some peculiar video's that mainly centered around screaming his head off in coffee shops. It may not sound like anything particularly out of the ordinary, but I assure you, it's an experience. One that words simply cannot do justice.
The Goof Gang	Iceberg, Layer10, GoofGang	https://static.wikia.nocookie.net/h3podcast/images/c/c9/Jimmie.jpg	It is well known that the Podcast takes a lot of inspiration from The Howard Stern show. 'Goof Gang' is a play on words for Howard Sterns 'Wack Pack' - A group of interesting personalities that often appear on the show. It was something they mentioned in the earlier years of the pod, but the term itself never really stuck.
Sharky's Gift Card	Iceberg, SharkysGiftcard, Layer9	https://cdn.getgiftme.com/gift-me/140f6969d5213fd0ece03148e62e461e/logo_1641885959.png	In the early days of the podcast Ethan let Ian use his car for a day. In response, Ian got Ethan a $40 gift card to Sharky's Seafood Restaurant. This gesture of good faith spiraled into an absolute fiasco for Ethan, and led to the two of them exchanging multiple Sharky's giftcards over the years as a gag.
The Derogatory Drunk Stream	Iceberg, Layer11, TheDrunkStream	https://media.tenor.com/JJis4eVg2I4AAAAe/h3-ethan-klein-drunk.png	On Podcast #29 Ethan, Jacksfilms, and Erik all got quite drunk, and Ethan mentioned his Podcast with iDubbbz where he said some derogatory terms. Ethan did not censor himself in this episode, and it has led to backlash that has followed him for years.  The episode has since been edited for obvious reasons, and Ethan has apologized many times for his remarks.
Bert Kriescher Lost Episode	Iceberg, Layer11, BertKriesherLostEpisode	https://i.ticketweb.com/i/00/07/86/73/11/Original.jpg	A very early episode of the Podcast was actually with Bert Kriescher, we know this because of an Instagram post by Bert himself. However, the episode never aired.  Eventually Bert would make his way back onto the Podcast where he and Ethan would discuss why the video never came to light.
Blocked by OJ Simpson	Iceberg, BlockedonTwitterbyOJ, Layer10	https://cdn.britannica.com/12/144812-050-C5497868/OJ-Simpson-1990.jpg	In June of 2019 Ethan couldn't stop watching OJ Simpson on Twitter. He relentelessly dug into OJ for being, you know, a murderer, and eventually got blocked by him. The popular soundbite *Hey Twitter World, this is Yours Truly* came from these videos.
Chet Hanks Threats	Iceberg, Layer11, ChetHanksThreats	https://pyxis.nymag.com/v1/imgs/fd6/1b0/0c88bea85de59317b804ad289737883a5d-12-Chet-Hanks.rsquare.w600.png	These days Chet Hanks doesn't get mentioned much, but for a time he was a hot topic of discussion that was always getting into all sorts of trouble. Chet caught wind of this, and in retaliation he sent some threatening DM's to Ethan.
Bill Burr Episode 1	Iceberg, BillBurrEpisode1, Layer3	https://static.wikia.nocookie.net/breakingbad/images/f/f2/Bill_Burr.jpg	Notoriously considered one of the worst episodes of the Podcast. This was still pretty early on in Ethans career as a podcast host and he was simply not prepared for Bill Burr's personality. This led to a lot of awkward moments between the two that had a genuine effect on Ethan's mental health, with Ethan even stating that this episode is the reason why he started anti-depressants. /n   While the audience reception wasn't great, Bill Burr was fine with the episode, and even reached back out to come back onto the show! In the second episode Ethan and him would have a MUCH better interview!
Triller Lawsuit Lost Episode	Iceberg, Layer11, TrillerLawsuitLostEpisode	https://i0.wp.com/musically.com/wp-content/uploads/2018/07/triller.png	Early on in the Triller Lawsuits and episode was made that was nixxed by Ethan's lawyers. It has never been released, and almost certainly will never see the light of day.
The BacH3lor Wildcard	Iceberg, Layer8, Wildcard	https://static.wikia.nocookie.net/h3h3productions/images/2/21/Ogjs5khfiewb1.jpg	Back during Ian's time on the BacH3lor he famously began talking to a girl who was not apart of the show. She was dubbed *The Wildcard* and would inevitably be the reason Ian pushed to get the segment cancelled. It has since been revealed the wildcard was none other than Sam!
John William Kirby Kelley	Iceberg, Layer12, JohnWilliamKirbeyKelly	https://static01.nyt.com/images/2020/04/13/multimedia/13xp-swatting/13xp-swatting-superJumbo-v3.jpg	Back in 2019 Ethan and Hila got swatted multiple times. It would later come to light that the man behind this was some dude named John William Kirby Kelley. He would be sentenced to 33 months in prison.
The Cody Incident	Iceberg, Layer9, CodyPadrino	https://www.famousbirthdays.com/faces/padrino-cody-image.jpg	These days Cody Padrino, a long-time friend of Jeff Wittek, is a friend of the show who will often accompany Jeff to the studio. However, this was not always the case. When Jeff and Ethan were not on such friendly terms Cody took Ethan's insults *VERY* seriously. This led to Cody making a video of him driving by Ethan's house and threatening him. Ethan was NOT okay with this, to say the least.
VoiceFlamingo-R	Iceberg, Layer12, VoiceFlamingo-R	https://t3.ftcdn.net/jpg/04/20/26/44/360_F_420264439_UuIPlfgclD7Nf1aNYrW6LNHtaa35JRCd.jpg	A user that posted about Ethan on /r/conspiracy stating that he thinks Ethan is using an FBI confirmed pedophile symbol on social media.
Famous Birthdays	Layer3, FamousBirthdays, Iceberg	Images/FamousBirthdays.png	On AB's 33rd Birthday a mission was created to get AB to the TOP of FamousBirthdays.com. The Foot Soldiers got to work and soon AB was rising up the ranks. Ethan, however, would not be so lucky. While it was true he also began rising through the ranks (albeit, not as quickly as birthday boy AB), the site soon SHUT HIM DOWN! It would appear that the site admins artificially dropped his ranking. In retaliation, Ethan sent them a strongly worded letter expressing his distaste of the situation. 
H3H3Producitons	Iceberg, Layer4, H3H3Producitons	https://pbs.twimg.com/profile_images/1663636443275857920/I9XjlEWX_400x400.jpg	Producitons (@h3h3producitons on X) is a long-running Ethan Klein parody account that has fooled H3 fans, haters, and even Ethan himself since 2020. The account was born from a simple typo—during an episode of H3 Bachelorette featuring Trisha Paytas, Dan misspelled the podcast’s email as “h3h3producitons” on a lower third, frustrating Ethan, who worried fans would send applications for the show to the wrong address. Inspired by the moment, an anonymous viewer created a parody Twitter account using the misspelled name, beginning what would become years of a relentless, spot-on imitation of Ethan. /n With over 22,000 followers, Producitons has been labeled a “menace to society” by Ethan himself, perfectly exaggerating his on-air persona. The account has even tricked high-profile H3 guests like Howie Mandel and Steve-O to follow the account, as well as members of the H3 crew to fall for his tweets on their timelines. But its most infamous prank came when it fooled Ethan’s own mother, Donna Klein. After a fake post featuring a tattoo of Shredder in a top hat gained traction, Donna commented, praising what she thought was her son’s photo. Fans quickly warned her to block the parody account, but Producitons struck first, tagging Donna in a post that convinced her to block Ethan’s real account instead—while following Producitons. Ethan later confronted her on the podcast before manually blocking them on her account off-air. /n Despite Ethan leaving Twitter, Producitons lives on, continuing to blur the line between devoted fan and relentless troll. Its true creator remains a mystery, but once posted a video of Jimmie Lee claiming to run the account. To this day, no one knows who’s behind it—or if Ethan will ever escape its grasp. 
Zach's Favorite Moments!	ZachsFavorites, Iceberg	https://pbs.twimg.com/media/FczFpf6aEAAhMF1.jpg	We're starting the break off STRONG with your boy, Zach the Sound Lad! These were the moments he picked as his favorites! While he explicitly picked Jack Black singing the Hanukkah prayer as his favorite moment from the Tenacious D episode, he encourages everyone to give the full episode a watch for these absolute legends!
Love's Favorite Moments!	LovesFavorites, Iceberg	Images\FatLove.png	Next up we have the one, the only, YungFika! Love keeps it simple, he's got ONE moment on his mind, but what a moment it was. His favorite part is when Jimmie gets kicked out and then proceeds to wander aimlessly around the parking lot for awhile.
Olivia's Favorite Moments!	OliviasFavorites, Iceberg	https://www.famousbirthdays.com/faces/lopes-olivia-image.jpg	Today we have the Queen of GossTalk herself, Olivia! And she's brought a slew of amazing moments with her! While her favorite moment from the 'Are You Smarter Than a 5th Grader' episode was Trisha's confidently proclaiming herself correct, she encourages you to watch the entire episode if you've got the time (and c'mon, we know you do)
The Denny's Incident	Iceberg, Layer6, Dennys	https://dennysmenuguide.com/wp-content/uploads/2024/01/Dennys-Menu-With-Prices91-5.jpg	For a brief time it was commonplace for Ethan to take calls from viewers to discuss various topics, or to make him laugh. One fateful day in September of 2021 one such caller claimed that "He saw Ethan ripping ass in a Denny's". This prompted Ethan to immediately take the call to expose such an outlandish lie. Since then, many have claimed to see Ethan ripping ass in Denny's all across the country, and Ethan would eventually do a Teddy Fresh photoshoot from inside a Denny's.
Hiking with Philip DeFranco	Iceberg, Layer7, HikingWithPhillyD	Images\HikingWithPhil.png	Back in 2022 Phillip DeFranco invited Ethan to go hiking with him to help him lose weight. Ethan was not particularly receptive to this invitation, which led to Phil continuing to meme on Ethan about it, even roping in the subreddit. To this day Ethan has never gone a hike with Philly D, and The Crew has never let him forget it.
AB's Favorite Moments!	ABsFavorites, Iceberg	Images\AB_Ayad2.png	You know him, you love him, straight outta Dearborn, MI, it's AB, Starkilla! WAB is a simple man who likes picking on Zach, and watching/participating in heartfelt moments being interrupted!
Dan's Favorite Moments!	DansFavorites, Iceberg	Images\DanKarate.png	Ending off the week we've got The Producer, The Hater, The Wizard, IT'S DAN SWERDLOVE! Dan remembers the early sketches foundly, particularly weezing uncontrollably behind the camera during The Gatsby sketch trying his best to keep the camera steady. He loved seeing Jimmie Lee get pelted with thousands of tomatoes, and cannot deny that ProJared does share some uncanny similarities to Majora's Mask.
The Eel Pit	Iceberg, Layer7, EelPit	https://img.buzzfeed.com/buzzfeed-static/static/2022-06/17/18/asset/1de4ae02e7f4/sub-buzz-2618-1655488820-29.jpg	During October of 2023 a man was going viral on TikTok for digging an Eel Pit in his home. During this time chat DEMANDED that The Crew watch some of the Eel Pit videos, and many of the members of The Crew shared the passion. And so it was decided, on the following episode, they would do a deep dive on all things Eel Pit! The chat rejoiced, patiently awaiting this exciting deep dive...
Avery's Favorite Moments!	Iceberg, AverysFavorites	Images\Avery.png	To start the week off we've got none other than THE TALLEST BOY HIMSELF, Avery! And with him, he brings some of the best skits the show has done over the years! He also got a kick out of the Patrice Wilson Countdown drama (ah, simpler times), and holds a special place in his heart when he and the other mods ate the Fika Fish, and our old friend Cameron suffered from it!
Karaoke With The Kleins!	Iceberg, Layer10, KaraokeWithTheKleins	Images\KaraokeWithTheKleins.png	Back in 2021 it was revealed that Zach has been pushing for YEARS to air a segment called "Karaoke With The Kleins". While over the years we gotten many Karoake sing alongs with Ethan, we need, at minimum, TWO Kleins in order to successfully see this segment come to fruition. Hila's resitance to the idea has been honorable, and even with Ethan suggesting they do it as a members drive, no such segment has ever surfaced. Perhaps it's time we pivot strategies and try to get Donna or Gary in on this?
Doo the Dew	Iceberg, Layer11, DooTheDew	https://i.pinimg.com/736x/98/31/ae/9831aebeb92d12ec5ce4183479fcc22a.jpg	Behind the scenes in the earliest days of the Podcast, Ian and Dan came to Ethan with the best segment idea ever created. They named it "Doo the Dew". It was simple, rank Mt. Dews while discussing Scooby Doo episodes. Pure. Simple. GENIUS. But Ethan didn't understand. Ian and Dan kept it under wraps for all those years, rarely letting the idea slip from their mouths. But Ethan never budged. For 7 years he let the greatest segment that could have been slip right by. And now, Ian is gone, and all hope for such a segment is dust in the wind.
Hila's Favorite Moments!	Iceberg, HilasFavorites	Images\Hila.png	Today we have The Queen herself, Hila Klein!! And she is feeding you all very well, with some long segments to keep you entertained for HOURS! She loved the ENTIRETY of the Vaush episode, the Shark Tank Segment and Zach's increasingly chaotic soundbites, as well as the OG Fika Fish Segment which still VERY MUCH delivers.
The Meat Mountain	Iceberg, Layer5, MeatMountain	https://www.chowhound.com/img/gallery/the-secret-arbys-sandwich-that-comes-with-9-types-of-meat/eating-the-towering-meat-mountain-1738706103.jpg	While the crew eats a lot of food during the show, back in the day it was more typical for them to do segments rating different items from fast-food joints. Enter, The Meat Mountain. A secret menu item from Arby's that is featuring two chicken tenders, roast turkey, ham, corned beef, brisket, Angus steak, roast beef, three half-strips of bacon, and one slice of swiss and cheddar cheese, which was promptly eaten by Ethan and Zach. Later Sam would encase the sandwich in resin, and Ian would give the gift to Hila for Craigsmas.
Misc Crew Favorites!	Iceberg, MiscCrewFavorites	https://static.wikia.nocookie.net/h3h3/images/c/c9/H3_Podcast_Crew_2025_Disney.jpg	After the last show, the Crew got together and continued discussing some of their favorite moments! Attached to no single person, the entire crew agreed that these were some top tier moments of the show!
Rae's Favorite Moments!	Iceberg, RaesFavorites	https://pbs.twimg.com/profile_images/1648119492906569728/EaXGZMHW_400x400.jpg	Today we have another long-time H3 Mod... IT'S RAE!! And she's brought a wide swath of GOLDEN moments from all across the Podcasts history! I chose the Ethan and Oliver boxing match clip, but she made it clear that she adores all the fights that Ethan and Oliver have gotten into over the years! She also said that everyone getting excited about her eating the fika fish is a "massive core memory" for her and she simply has to make sure that gets included. 
Zane's TOP TEN!	Iceberg, ZanesFavorites	https://ugc.production.linktr.ee/3b0acd14-0d47-4148-8261-62066f6fd243_me-h3-greek.jpeg	To finish off this saga we have, the man, the myth, the LEGEND - It's ya boi TALL SKELETON Aka Zane! Known for sending all sorts of hilarious photoshops to the crew, he's been watching the show for countless years and has provide a collection of his TOP 10 Moments from across the shows history! And so, I'll just leave it at. Enjoy!
