title	sound	episodetype	episodenumber	episodedate	time	person	timestampurl	image
This is the worst microphone I think Ive ever had.	Trump_ThisIsTheWorstMicrophoneIveEverHad.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
This is the worst mic Ive ever had	Trump_WorstMicIveEverHad.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
Mom I wanna vape	Trump_MomIWannaVape.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
Mom I'm sorry!	Trump_MomImSorry.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
Obamna (Obama)	Trump_Obamna.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
THE N WORD!	Trump_TheNWord.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
Mom I Wanna Vape!	Trump_MomIWantAVape.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
Everythings Computer!	Trump_EverythingsComputer.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
I Love Teslur!	Trump_ILoveTeslur.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
What the Hell is Going on?!	Trump_WhatTheHellIsGoingOn.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
I didn't think you could break a penis	Donna_BreakAPenis.mp3	H3Show	53	09-11-2024	9252	Donna Klein	https://youtu.be/ua5pUi11V3E&t=9252	
DEEZ NUTS	DonnaKlein_DeezNuts.mp3	AfterDark	99	03-24-2023	10100	Donna Klein	https://www.youtube.com/watch?v=FkTrjT_PDDc&t=10100	
Its Friday Fuck baby fuck	Donna_ItsFridayFuck.mp3	Families	10	08-25-2021	677	Donna Klein	https://youtu.be/WOAWl_s0Kjs&t=677	
Dubrick	Donna_Dubrik.mp3	Families	2	06-30-2021	5179	Donna Klein	https://youtu.be/_SdeGi-8rZ8&t=5179	
Doobrik	Donna_Klein_Doobrick.mp3	Unknown	1	05-05-2015	0	Donna Klein	https://youtu.be/zOYZ3XMGjUM&t=0	
You want some fucking teeth?	DrKennySmiles_SoYouWantSomeFuckingTeeth.mp3	H3TV	91	09-25-2023	9666	Dr Kenny Smiles	https://www.youtube.com/watch?v=qbDqgYZBEeY&t=9666	
I hope you get ass cancer and DIE	DrPhil_IHopeYouGetAssCancerAndDie.mp3	H3TV	65	02-13-2023	1421	Dr Phil	https://youtu.be/JUgwnVF_zuA&t=1421	
SIMP	DrPhil_SIMP.mp3	Podcast	215	09-14-2020	964	Dr Phil	https://youtu.be/H_S7N1J0Fm0&t=964	
And I oop	DrPhil_AndIOop.mp3	Podcast	154	11-02-2019	1665	Dr Phil	https://youtu.be/OwlPtCDGluI&t=1665	
Congrachulations!	Drake_Congratulations.mp3	Unknown	1	05-05-2015	0	Drake	https://youtu.be/zOYZ3XMGjUM&t=0	
Im SorrEeey!	Drake_ImSorry.mp3	Unknown	1	05-05-2015	0	Drake	https://youtu.be/zOYZ3XMGjUM&t=0	
I need a max wynn.	Drake_INeedTheMaxWin.mp3	Unknown	1	05-05-2015	0	Drake	https://youtu.be/zOYZ3XMGjUM&t=0	
Ohhhh my Gohhhd!	Drake_OhMyGod.mp3	Unknown	1	05-05-2015	0	Drake	https://youtu.be/zOYZ3XMGjUM&t=0	
A nightmare... A nightmare.	Dream_ANightmareANightmare.mp3	H3TV	93	10-09-2023	9297	Dream	https://www.youtube.com/watch?v=ZNFeRPMOu8g&t=9297	
I cant breath when youre not there!	Dream_ICantBreathWhenYoureNotThere1.mp3	H3TV	93	10-09-2023	9249	Dream	https://www.youtube.com/watch?v=ZNFeRPMOu8g&t=9249	
I cant BREATH WHEN YOURE NOT THEeeRe!	Dream_ICantBreathWhenYoureNotThere2.mp3	H3TV	93	10-09-2023	9300	Dream	https://www.youtube.com/watch?v=ZNFeRPMOu8g&t=9300	
I cant sleep its a nightmare!	Dream_ICantSleepItsANightmare.mp3	H3TV	93	10-09-2023	9288	Dream	https://www.youtube.com/watch?v=ZNFeRPMOu8g&t=9288	
Youre not there... Youre not there.	Dream_YoureNotThere.mp3	H3TV	93	10-09-2023	9342	Dream	https://www.youtube.com/watch?v=ZNFeRPMOu8g&t=9342	
Hell yeah HELL YEAH	Dream_HellYeahHELLYEAH.mp3	OTR	2	06-03-2021	1157	Dream	https://www.youtube.com/watch?v=RSirCfZjonY&t=1157	
YUP	E40_Yup.mp3	Unknown	1	05-05-2015	0	E-40	https://youtu.be/zOYZ3XMGjUM&t=0	
NOPE	E40_Nope.mp3	Unknown	1	05-05-2015	0	E-40	https://youtu.be/zOYZ3XMGjUM&t=0	
USA USA USA!!	ElonMusk_USA.mp3	H3Show	72	10-28-2024	1871	Elon Musk	https://youtu.be/HngwtqKyYdw&t=1871	
♪ AlLlL I NeeEEEd iS the RYThM DIViNE!! ... ♪	EnriqueIglesias_SingingPoorly.mp3	OTR	96	11-29-2023	743	Enrique Iglesias	https://www.youtube.com/watch?v=Z17qb2ybiuI&t=743	
♪ IMAGINE IF NINJA GOT A LOW TAPER FADE ♪	Ericdoa_ImagineIfNinjaGotALowTaperFade.mp3	OTR	100	01-17-2024	6265	Ericdoa	https://www.youtube.com/watch?v=cfZM73q7NOc&t=6265	
Okay I Like That	Ethan_OkayILikeThat.mp3	H3Show	123	03-17-2025	21979	Ethan	https://youtu.be/0Z4TGbApoIo&t=21979	/Images/Ethan_Drunk2025.png
I Like it, I Fuck With That	Ethan_ILikeThatIFuckWithThat.mp3	H3Show	123	03-17-2025	21979	Ethan	https://youtu.be/0Z4TGbApoIo&t=21979	/Images/Ethan_Drunk2025.png
DAN YOU FUCK!! You coward!	Ethan_DanYouFUCK.mp3	H3Show	74	11-01-2024	3833	Ethan	https://youtu.be/H0vlj3QIFsU&t=3833	
Sieg Heil	Ethan_SeigHeil.mp3	H3Show	29	07-15-2024	7525	Ethan	https://youtu.be/gyIlayEQN3E&t=7525	
WHAT?!	Ethan_BFFTWHAT.mp3	H3TV	82	07-10-2023	7978	Ethan	https://youtu.be/eb8z8kaekfw&t=7978	
Its a rainy day out here in Los Angeles!	Ethan_ItsARainyDayOutHereInLosAngeles.mp3	Podcast	267	02-24-2023	3	Ethan	https://youtu.be/TsHmmkK8mQA&t=3	
DAAAAN SWERDLOVE	Ethan_DanSwerdlove.mp3	H3TV	62	01-16-2023	3291	Ethan	https://youtu.be/lJNBlXTGSWk&t=3291	
Dan has Never Looked Good	Ethan_DanHasNeverLookedGood.mp3	H3TV	56	11-07-2022	672	Ethan	https://youtu.be/mUSioSGBigU&t=672	
LUNCHTIME	Ethan_LUNCHTIME.mp3	H3TV	55	10-31-2022	1035	Ethan	https://youtu.be/AlcD8_dyVvQ&t=1035	
Do Not Waste That Sweet Milk	Ethan_DoNotWasteThatSweetMilk.mp3	Leftovers	19	07-21-2022	4159	Ethan	https://www.youtube.com/watch?v=Yb4bqqyH8_Y&t=4159	
Stay in the kitchen and suck me off	Ethan_StayInTheKitchenAndSuckMeOff.mp3	H3TV	40	06-20-2022	8453	Ethan	https://youtu.be/PbuUz7yw9SA&t=8453	
Who is Sam	Ethan_WhoIsSam.mp3	OTR	35	05-11-2022	9551	Ethan	https://www.youtube.com/watch?v=cNiIRTDfch0&t=9551	
You Wanna Come to the Car and Suck my Cock	Ethan_YouWannaComeToMyCarAndSuck.mp3	Podcast	251	05-06-2022	1297	Ethan	https://youtu.be/NlPCUpYrMis&t=1297	
SZIT (?) SZIT!!! (?)	Ethan_DrunkTalk.mp3	AfterDark	23	02-12-2021	22987	Ethan	https://www.youtube.com/watch?v=v4QZhtLnWKc&t=22987	
X-X-X-Tassion	Ethan_XXXTassion.mp3	ContentCourt	2	09-24-2020	314	Ethan	https://youtu.be/VQ6bqvWmHoo&t=314	
I DONT like it	Ethan_IDontLikeIt.mp3	Podcast	171	01-29-2020	6997	Ethan	https://youtu.be/XbeULz7ekV8&t=6997	
OH MARVELOUS!!!!	Ethan_OhMarvelous.mp3	Podcast	157	11-13-2019	2065	Ethan	https://youtu.be/1GUgvMRNoTc&t=2065	
I like it!	Ethan_ILikeIt.mp3	Podcast	155	11-06-2019	4990	Ethan	https://youtu.be/AkJZcJhh7qQ&t=4990	
Spit on my tits and fuck em	Ethan_SpitOnMyTits.mp3	Podcast	131	08-02-2019	1398	Ethan	https://youtu.be/AH4m_aTgsFQ&t=1398	
Blew my tits right off my fat body	Ethan_BlewMyTits.mp3	Unknown	1	05-05-2015	0	Ethan	https://youtu.be/zOYZ3XMGjUM&t=0	
WOAAAAAAH	Ethan_WOOOOAAAAH.mp3	Unknown	1	05-05-2015	0	Ethan	https://youtu.be/zOYZ3XMGjUM&t=0	
Sleepy AND Horny	Ethan_SleepyAndHorny.mp3	Unknown	1	05-05-2015	0	Ethan	https://youtu.be/zOYZ3XMGjUM&t=0	
Im from the HEEEART of Brooklyn!	EthanBradberry_TheHeartOfBrooklyn.mp3	H3TV	105	01-29-2024	1173	Ethan Bradberry	https://www.youtube.com/watch?v=k1VrTaTohWA&t=1173	
Faze Blanks	FazeBanks_FazeBlanks.mp3	AfterDark	36	05-13-2021	6589	Faze Banks	https://www.youtube.com/watch?v=4CP_nl037_c&t=6589	
Im infinitely smarter than you	FazeBanks_InfinitelySmarterThanYou.mp3	AfterDark	36	05-13-2021	6598	Faze Banks	https://www.youtube.com/watch?v=4CP_nl037_c&t=6598	
I think hes fucking stupid	FazeBanks_IThinkHesFuckingStupid.mp3	AfterDark	36	05-13-2021	6598	Faze Banks	https://www.youtube.com/watch?v=4CP_nl037_c&t=6598	
I Had Sex in a Treehouse	FazeBanks_HadSexInATreehouse.mp3	Unknown	1	05-05-2015	0	Faze Banks	https://youtu.be/zOYZ3XMGjUM&t=0	
This Place Has Been Marked and Violated Forever	FazeBanks_ThisPlaceHasBeenMarkedAndViolatedForever.mp3	Unknown	1	05-05-2015	0	Faze Banks	https://youtu.be/zOYZ3XMGjUM&t=0	
My seed is all over this place	FazeBanks_MySeedIsAllOverThePlace.mp3	Unknown	1	05-05-2015	0	Faze Banks	https://youtu.be/zOYZ3XMGjUM&t=0	
Facts Are Facts, Facts?	FazeBanks_FactsAreFactsFacts.mp3	Unknown	1	05-05-2015	0	Faze Banks	https://youtu.be/zOYZ3XMGjUM&t=0	
H3H3 Humor	FazeBanks_H3H3humor.mp3	Unknown	1	05-05-2015	0	Faze Banks	https://youtu.be/zOYZ3XMGjUM&t=0	
Bro, Are You Fucking High Right Now?	FazeBanks_FazeBanks_BroAreYouFuckingHighRightNow.mp3	Unknown	1	05-05-2015	0	Faze Banks	https://youtu.be/zOYZ3XMGjUM&t=0	
I want to fuck this bitch	Fidias_IWantToFuckThisBitch.mp3	AfterDark	131	12-15-2023	5349	Fidias	https://www.youtube.com/watch?v=evmZ3TGPbbk&t=5349	
Margot Robbie...	Fidias_MargotRobbie.mp3	AfterDark	131	12-15-2023	5349	Fidias	https://www.youtube.com/watch?v=evmZ3TGPbbk&t=5349	
It's interestingeh	Fidias_ItsInteresting.mp3	OTR	93	11-08-2023	7167	Fidias	https://www.youtube.com/watch?v=FCzT_C9CJew&t=7167	
Gay Trilogy	FouseyCuomoFifa_GayTrilogy.mp3	OTR	62	03-01-2023	390	FouseyTube	https://www.youtube.com/watch?v=XH6XCtQe4NI&t=390	
CHEEEEZE	FouseyTube_CHEEZE.mp3	OTR	43	07-20-2022	8402	FouseyTube	https://www.youtube.com/watch?v=sJw_z60GrCM&t=8402	
It Tastes Like Beef Jerky	FouseyTube_ItTastesLikeBeefJerky.mp3	OTR	43	07-20-2022	8415	FouseyTube	https://www.youtube.com/watch?v=sJw_z60GrCM&t=8415	
I felt worthless I felt ugly I felt gay	FouseyTube_IFeltWorthless.mp3	Misc	3	01-28-2022	3446	FouseyTube	https://www.youtube.com/watch?v=daxr0SkHQm0&t=3446	
Lets assume I was gay	Fresh&Fit_LetsAssumeIWasGay.mp3	H3Show	13	05-20-2024	7023	Fresh and Fit	https://youtu.be/_0wT8yg4k3I&t=7023	
Man it is Wednesday man	Fresh&Fit_ItsWednesdayMan.mp3	AfterDark	71	04-29-2022	6803	Fresh and Fit	https://www.youtube.com/watch?v=cztc_OXvqJI&t=6803	
Coconuts in Barbados	Fresh&Fit_CoconutsInBarbados.mp3	OTR	24	02-16-2022	7144	Fresh and Fit	https://www.youtube.com/watch?v=lXyGJVWafH8&t=7144	
Coconuts and Your Divorce	Fresh&Fit_CoconutsAndYourDivorce.mp3	Unknown	1	05-05-2015	0	Fresh and Fit	https://youtu.be/zOYZ3XMGjUM&t=0	
Uhh... BASED!	Frogan_UhBased.mp3	H3Show	113	02-22-2025	10445	Frogan	https://youtu.be/UK47xzasVxA&t=10445	
U.S. Military? Boo Fuckin' Hoo!	Frogan_BooFuckingHoo.mp3	Unknown	1	05-05-2015	0	Frogan	https://youtu.be/zOYZ3XMGjUM&t=0	
I like that	GarthBrooks_ILikeThat.mp3	Podcast	71	06-29-2018	4222	Garth Brooks	https://youtu.be/ecLCI0JhyW4&t=4222	
Let the conversation begin	GarthBrooks_LetTheConversationBegin.mp3	Podcast	71	06-29-2018	4435	Garth Brooks	https://youtu.be/ecLCI0JhyW4&t=4435	
Get into a Handstand or Some Weird Position...	GaryVee_GetIntoWeirdPositionAndLookAgain.mp3	Unknown	1	05-05-2015	0	Gary Vee	https://youtu.be/zOYZ3XMGjUM&t=0	
Everyone Look at Your Phone Right Now	GaryVee_EveryoneLookAtYourPhoneRightNow.mp3	Unknown	1	05-05-2015	0	Gary Vee	https://youtu.be/zOYZ3XMGjUM&t=0	
Now Put That Phone Down	GaryVee_PutThatPhoneDown.mp3	Unknown	1	05-05-2015	0	Gary Vee	https://youtu.be/zOYZ3XMGjUM&t=0	
Different Perspectives!	GaryVee_DifferentPerspectives.mp3	Unknown	1	05-05-2015	0	Gary Vee	https://youtu.be/zOYZ3XMGjUM&t=0	
Every Day Make Pretend One Got Shot In The Face	GaryVee_OnceADayShotInTheFace.mp3	Unknown	1	05-05-2015	0	Gary Vee	https://youtu.be/zOYZ3XMGjUM&t=0	
Im a fucking savage you gotta do it	GregPaul_ImAFuckingSavage.mp3	AfterDark	33	04-23-2021	1870	Greg Paul	https://www.youtube.com/watch?v=MjDYycK6n7M&t=1870	
Id rather speak up and be wrong than be muffled and be wrong	GregPaul_IdRatherBeWrong.mp3	Podcast	227	12-03-2020	975	Greg Paul	https://youtu.be/pvGrqiHky5k&t=975	
Scream #1	Grimes_Scream1.mp3	H3Show	6	05-03-2024	10948	Grimes	https://youtu.be/dQO5biMTtsY&t=10948	
Scream #2	Grimes_Scream2.mp3	H3Show	6	05-03-2024	10948	Grimes	https://youtu.be/dQO5biMTtsY&t=10948	
Scream #3	Grimes_Scream3.mp3	H3Show	6	05-03-2024	10948	Grimes	https://youtu.be/dQO5biMTtsY&t=10948	
Anywho I'm gonna go to bed	HaileyWelch_AnywhoImGonnaGoToBed.mp3	H3Show	108	02-10-2025	2123	Hailey Welch (Hawk Tuah)	https://youtu.be/I0zmBdGEvwU&t=2123	
FLOCKA	HannibalBuress_FLOCKA.mp3	H3TV	48	08-22-2022	80	Hannibal B	https://youtu.be/FnZ2MLYKacc&t=80	
Jew!	Jew.mp3	Unknown	1	05-05-2015	0	Harley Morenstein	https://youtu.be/zOYZ3XMGjUM&t=0	
Graham Stephan is a jew!	Harley_GrahamStephanIsAJew.mp3	Unknown	1	05-05-2015	0	Harley Morenstein	https://youtu.be/zOYZ3XMGjUM&t=0	
Denny's Rant	Harley_DennysRant.mp3	Unknown	1	05-05-2015	0	Harley Morenstein	https://youtu.be/zOYZ3XMGjUM&t=0	
Ryan Kavanaugh is a force of nature	HarveyWeinstein_RyanKavanaughIsAForceOfNature.mp3	H3TV	21	01-17-2022	4546	Harvey Weinstein	https://youtu.be/sHrEyuHHM9U&t=4546	
Mhm	Hasan_mmhmm.mp3	H3Show	109	02-12-2025	5276	Hasan Piker	https://youtu.be/A8MzE_Pr9XI&t=5276	
Destiny is a great guy	Hasan_DestinyIsAGreatGuy.mp3	H3Show	106	02-05-2025	6320	Hasan Piker	https://youtu.be/6KV16LWcnTY&t=6320	
Laugh #1	Hasan_Laugh1.mp3	H3Show	99	01-15-2025	3507	Hasan Piker	https://youtu.be/h1dnSmR_9C8&t=3507	
Laugh #2	Hasan_Laugh2.mp3	H3Show	99	01-15-2025	3507	Hasan Piker	https://youtu.be/h1dnSmR_9C8&t=3507	
America Deserved 9/11	Hasan_AmericaDeserved911.mp3	H3Show	55	09-16-2024	10091	Hasan Piker	https://youtu.be/Ch3WcOM4gNs&t=10091	
Adolf Hitler DUDE!!	Hasan_AdolfHitlerDUDE.mp3	AfterDark	92	12-16-2022	10832	Hasan Piker	https://www.youtube.com/watch?v=GgwXXGtUCgE&t=10832	
Weasily little liar dude	Hasan_WeasleyLittleLiar.mp3	H3TV	23	02-14-2022	6715	Hasan Piker	https://youtu.be/JZP7g-9ANRc&t=6715	
CRACKA	HasanPiker_Cracka.mp3	Unknown	1	05-05-2015	0	Hasan Piker	https://youtu.be/zOYZ3XMGjUM&t=0	
What a fucking piece of shit dude	HasanPiker_WhatAFuckingPieceOfShit.mp3	Unknown	1	05-05-2015	0	Hasan Piker	https://youtu.be/zOYZ3XMGjUM&t=0	
Kaya, no... Place!	Hasan Kaya no place.mp3	Unknown	1	05-05-2015	0	Hasan Piker	https://youtu.be/zOYZ3XMGjUM&t=0	
Place! Kaya, Place!	Hasan place Kaya place.mp3	Unknown	1	05-05-2015	0	Hasan Piker	https://youtu.be/zOYZ3XMGjUM&t=0	
PLACE!	Hasan_PLACE.mp3	Unknown	1	05-05-2015	0	Hasan Piker	https://youtu.be/zOYZ3XMGjUM&t=0	
Dan KKK Clancy	Hasan_DanKKKClansey.mp3	Unknown	1	05-05-2015	0	Hasan Piker	https://youtu.be/zOYZ3XMGjUM&t=0	
HA-SS... on... KKK-ER	Hasan_HaSSanKKKer.mp3	Unknown	1	05-05-2015	0	Hasan Piker	https://youtu.be/zOYZ3XMGjUM&t=0	
Oop there it is	Hila_OopThereItIs.mp3	AfterDark	25	02-26-2021	9168	Hila	https://www.youtube.com/watch?v=ugF3erryCls&t=9168	
You didn't tell me you got some tea today!	Hila_YouDidntTellMeTea.mp3	Podcast	227	12-03-2020	595	Hila	https://youtu.be/pvGrqiHky5k&t=595	
Have you visited Blacked	Hila_HaveYouVisitedBlacked.mp3	Podcast	225	10-29-2020	1281	Hila	https://youtu.be/uutn8Lob_ek&t=1281	
I Want to Smell Feet	Hila_IWantToSmellFeet.mp3	Podcast	206	08-12-2020	938	Hila	https://youtu.be/IgTdy9DElWU&t=938	
Haha Bitch Im laughing cause you big mad	Hila_ImLaughingCauseYouBigMad.mp3	Podcast	190	05-16-2020	5227	Hila	https://youtu.be/6BhJNuIN6rM&t=5227	
Lets google some Isis videos	Hila_LetsGoogleSomeISISVideos.mp3	Unknown	1	05-05-2015	0	Hila	https://youtu.be/zOYZ3XMGjUM&t=0	
Hilas Ricegum laugh	Hila_RiceGumLaugh.mp3	Unknown	1	05-05-2015	0	Hila	https://youtu.be/zOYZ3XMGjUM&t=0	
What up big pimps	Hila_WhatUpBigPimps.mp3	Unknown	1	05-05-2015	0	Hila	https://youtu.be/zOYZ3XMGjUM&t=0	
Youre in the wrong street cuz	Hila_WrongStreetCuz.mp3	Unknown	1	05-05-2015	0	Hila	https://youtu.be/zOYZ3XMGjUM&t=0	
I'm just chillin' in Cedar Rapids	HillaryClinton_ImJustChillinInCedarRapids.mp3	Podcast	170	01-25-2020	2990	Hillary Clinton	https://youtu.be/RtQPOAHFrK0&t=2990	
I think so, don't you think so?	Howie_IThinkSo.mp3	H3Show	101	01-22-2025	4857	Howie Mandel	https://youtu.be/casAOxYGjPc&t=4857	
You're coming off a little special needs	Howie_SpecialNeeds.mp3	H3Show	101	01-22-2025	4857	Howie Mandel	https://youtu.be/casAOxYGjPc&t=4857	
Im not gonna read it FUCK YOU	Howie_ImNotGonnaReadIt.mp3	Live	1	06-23-2023	3910	Howie Mandel	https://youtu.be/ShNedjrsI_E&t=3910	
Show Us!! ...	Howie_ShowUs.mp3	Live	1	06-23-2023	2581	Howie Mandel	https://youtu.be/ShNedjrsI_E&t=2581	
I took it down okay	Howie_ITookItDownOkay.mp3	H3TV	57	11-14-2022	204	Howie Mandel	https://youtu.be/Y0idXvAgs6Q&t=204	
The number one podcast in the world	Howie_TheNumberOnePodcast.mp3	OTR	48	09-14-2022	3505	Howie Mandel	https://www.youtube.com/watch?v=bRu6UR5lzeE&t=3505	
Im growing my hair back people	Howie_GrowingMyHairBackPeople.mp3	AfterDark	77	07-15-2022	5645	Howie Mandel	https://www.youtube.com/watch?v=VHkpIXco8Ks&t=5645	
Does anyone know is this Covid Related? ...	Howie_IsThisCovidRelated.mp3	H3TV	42	07-11-2022	829	Howie Mandel	https://youtu.be/QpElkT_nkgY&t=829	
Ow	Howie_Ow.mp3	H3TV	42	07-11-2022	829	Howie Mandel	https://youtu.be/QpElkT_nkgY&t=829	
When my friend Neal bent over this happened	Howie_WhenMyFriendNeilBentOver.mp3	H3TV	42	07-11-2022	829	Howie Mandel	https://youtu.be/QpElkT_nkgY&t=829	
Nothin'...	Howie_Nothing.mp3	Unknown	1	05-05-2015	0	Howie Mandel	https://youtu.be/zOYZ3XMGjUM&t=0	
I'm Fine, People!	Howie_ImFinePeople.mp3	Unknown	1	05-05-2015	0	Howie Mandel	https://youtu.be/zOYZ3XMGjUM&t=0	
♪ Howie's Pre Show Music ♪	Howie_PreShowMusic.mp3	Unknown	1	05-05-2015	0	Howie Mandel	https://youtu.be/zOYZ3XMGjUM&t=0	
I'm strokin pussy down here	Ian_ImStrokingPussyDownHere.mp3	Podcast	236	02-18-2021	71	Ian	https://youtu.be/6rXRoIA4EEc&t=71	
I've Been Chuggin' the Water!	Ian_IveBeenChuggingTheWater.mp3	Podcast	169	01-22-2020	4987	Ian	https://youtu.be/DzjVGrSyPP0&t=4987	
I Gotta Pee So Bad	Ian_IGottaPeeSoBad.mp3	Podcast	106	03-01-2019	5667	Ian	https://youtu.be/-WGeIEK1yY4&t=5667	
I've Got News For You, That Means You're Gay	IceT_ThatMeansYourGay.mp3	Podcast	234	02-04-2021	63	Ice T	https://youtu.be/4LbemPA5lEo&t=63	
Lets Give it up for Dan	Idubbbz_LetsGiveItUpForDan.mp3	Unknown	1	05-05-2015	0	iDubbbz	https://youtu.be/zOYZ3XMGjUM&t=0	
Suck my Ass, Bitch	Idubbbz_SuckMyAssBitch.mp3	Unknown	1	05-05-2015	0	iDubbbz	https://youtu.be/zOYZ3XMGjUM&t=0	
This is Not What Podcasts Are!	Idubbbz_ThisIsNotWhatPodcastsAre.mp3	Unknown	1	05-05-2015	0	iDubbbz	https://youtu.be/zOYZ3XMGjUM&t=0	
Ban 'em and Block 'em	Idubbbz_BanHimAndBlockHim.mp3	Unknown	1	05-05-2015	0	iDubbbz	https://youtu.be/zOYZ3XMGjUM&t=0	
Okay, I like it, Picasso	ItsReefa_OkayILikeItPicasso.mp3	AfterDark	120	09-15-2023	6451	itsreefa	https://www.youtube.com/watch?v=-pPIPXwK1wQ&t=6451	
What's this?!	ItsReefa_WhatsThis.mp3	AfterDark	120	09-15-2023	6451	itsreefa	https://www.youtube.com/watch?v=-pPIPXwK1wQ&t=6451	
I would call that uh false advertising	JaRule_IWouldCallThatFalseAdvertising.mp3	Unknown	1	05-05-2015	0	Ja Rule	https://youtu.be/zOYZ3XMGjUM&t=0	
I would call that uh FRAUD	JaRule_IWouldCallThatFraud.mp3	Unknown	1	05-05-2015	0	Ja Rule	https://youtu.be/zOYZ3XMGjUM&t=0	
Thats FRAUD	JaRule_ThatsFraud.mp3	Unknown	1	05-05-2015	0	Ja Rule	https://youtu.be/zOYZ3XMGjUM&t=0	
Thats not fraud	JaRule_ThatsNotFraud.mp3	Unknown	1	05-05-2015	0	Ja Rule	https://youtu.be/zOYZ3XMGjUM&t=0	
Can we talk about the political and economic state of the world?	JadenSmith_PoliticalAndEconomicalStateOfTheWorld.mp3	OTR	32	04-20-2022	9650	Jaden Smith	https://www.youtube.com/watch?v=PUQPGI9fNok&t=9650	
No - Ethan thats not how that works	JakeDoolittle_NoEthanThatsNotHowThatWorks.mp3	H3TV	103	01-08-2024	10012	Jake Doolittle	https://www.youtube.com/watch?v=WuaEyOStUds&t=10012	
OooOoOops	JakeDoolittle_Ooooops.mp3	H3TV	103	01-08-2024	13046	Jake Doolittle	https://www.youtube.com/watch?v=WuaEyOStUds&t=13046	
Gotcha hat	JakePaul_GotchaHat.mp3	Unknown	1	05-05-2015	0	Jake Paul	https://youtu.be/zOYZ3XMGjUM&t=0	
Nah You're Trippin'	JakePaul_NawYoureTripping.mp3	Unknown	1	05-05-2015	0	Jake Paul	https://youtu.be/zOYZ3XMGjUM&t=0	
Free Shipping Ya'll!	JakePaul_FreeShippingYall.mp3	Unknown	1	05-05-2015	0	Jake Paul	https://youtu.be/zOYZ3XMGjUM&t=0	
WOMP WOMP WOMP	JamesCharles_WompWompWomp.mp3	Podcast	242	04-08-2021	389	James Charles	https://youtu.be/PcDqarjl4w0&t=389	
YeaaAaaeEeeaaAaaeeEeEAaaH	JamesCharles_YeaaAaaeeeEeeaaAaaeeeEeeeEAaaaaH.mp3	Podcast	242	04-08-2021	389	James Charles	https://youtu.be/PcDqarjl4w0&t=389	
Yeah really sad	JamesCharles_YeahReallySad.mp3	AfterDark	25	02-26-2021	4504	James Charles	https://www.youtube.com/watch?v=ugF3erryCls&t=4504	
Spooked Magooked	JamesCharles_SpookedMagooked.mp3	AfterDark	19	01-15-2021	9234	James Charles	https://www.youtube.com/watch?v=QBmlIdXpGeU&t=9234	
Lets get glam	JamesCharles_LetsGetGlam.mp3	AfterDark	18	01-08-2021	2141	James Charles	https://www.youtube.com/watch?v=7XytOqnusfo&t=2141	
Ohhh nooOooo	JamesCharles_OhhhNooOoo.mp3	AfterDark	18	01-08-2021	41	James Charles	https://www.youtube.com/watch?v=7XytOqnusfo&t=41	
Wow sister shnapped	JamesCharles_SisterSnapped.mp3	Unknown	1	05-05-2015	0	James Charles	https://youtu.be/zOYZ3XMGjUM&t=0	
Hello!	JamesCharles_HELLO.mp3	Unknown	1	05-05-2015	0	James Charles	https://youtu.be/zOYZ3XMGjUM&t=0	
OH FUCK	JamesCharles_AhhhFuck.mp3	Unknown	1	05-05-2015	0	James Charles	https://youtu.be/zOYZ3XMGjUM&t=0	
Konichiwa	JamesCharles_Konichiwa.mp3	Unknown	1	05-05-2015	0	James Charles	https://youtu.be/zOYZ3XMGjUM&t=0	
Mercy Bookoo	JamesCharles_MercyBookoo.mp3	Unknown	1	05-05-2015	0	James Charles	https://youtu.be/zOYZ3XMGjUM&t=0	
Chow Bella	JamesCharles_ChowBella.mp3	Unknown	1	05-05-2015	0	James Charles	https://youtu.be/zOYZ3XMGjUM&t=0	
Mama Mia!	JamesCharles_MamaMia.mp3	Unknown	1	05-05-2015	0	James Charles	https://youtu.be/zOYZ3XMGjUM&t=0	
This is Digusting	JamesCharles_ThisIsDisgusting.mp3	Unknown	1	05-05-2015	0	James Charles	https://youtu.be/zOYZ3XMGjUM&t=0	
Ah	JaredLeto_Ah.mp3	Unknown	1	05-05-2015	0	Jared Leto	https://youtu.be/zOYZ3XMGjUM&t=0	
